SYMBOL,NAME,SECTOR,STATUS
786,786 Investments Limited,INV. BANKS / INV. COS. / SECURITIES COS.,Compliant
AABS,Al-Abbas Sugar Mills Limited,SUGAR & ALLIED INDUSTRIES,Compliant
AAL,Agro Allianz Limited,TEXTILE SPINNING,Non Compliant
AASM,Al-Abid Silk Mills Limited,SYNTHETIC & RAYON,Non Compliant
AATM,Ali Asghar Textile Mills Limited,TEXTILE SPINNING,Compliant
ABL,Allied Bank Limited,COMMERCIAL BANKS,Compliant
ABOT,Abbott Laboratories (Pakistan) Limited,PHARMACEUTICALS,Compliant
ABSON,Abson Industries Limited,"PAPER, BOARD & PACKAGING",Non Compliant
ACIETF,Alfalah Consumer Index (ETF),EXCHANGE TRADED FUNDS,Compliant
ACPL,Attock Cement Pakistan Limited,CEMENT,Compliant
ADAMS,Adam Sugar Mills Limited,SUGAR & ALLIED INDUSTRIES,Compliant
ADMM,Artistic Denim Mills Limited,TEXTILE COMPOSITE,Compliant
AGHA,Agha Steel Ind.Ltd,ENGINEERING,Compliant
AGIC,Askari General Insurance Company Limited,INSURANCE,Compliant
AGICR2,Askari General Insurance Co.Ltd.(Right),INSURANCE,Compliant
AGIL,Agriauto Industries Limited,AUTOMOBILE PARTS & ACCESSORIES,Compliant
AGL,Agritech Limited,FERTILIZER,Compliant
AGLNCPS,Agritech Non-Voting (Pref) Class A,CHEMICAL,Compliant
AGP,AGP Limited,PHARMACEUTICALS,Compliant
AGSML,Abdullah Shah Ghazi Sugar Mills Limited,SUGAR & ALLIED INDUSTRIES,Compliant
AGTL,Al-Ghazi Tractors Limited,AUTOMOBILE ASSEMBLER,Compliant
AHCL,Arif Habib Corporation Limited,FERTILIZER,Compliant
AHL,Arif Habib Limited,INV. BANKS / INV. COS. / SECURITIES COS.,Compliant
AHTM,Ahmad Hassan Textile Mills Limited,TEXTILE COMPOSITE,Compliant
AICL,Adamjee Insurance Company Limited,INSURANCE,Compliant
AIRLINK,Air Link Communication Limited,TECHNOLOGY & COMMUNICATION,Compliant
AKBL,Askari Bank Limited,COMMERCIAL BANKS,Compliant
AKDHL,AKD Hospitality Limited,MISCELLANEOUS,Compliant
AKDSL,AKD Securities Limited,INV. BANKS / INV. COS. / SECURITIES COS.,Compliant
AKGL,Al-Khair Gadoon Limited,MISCELLANEOUS,Compliant
ALAC,Askari Life Assurance Company Limited,INSURANCE,Compliant
ALIFE,Adamjee Life Assurance Company Limited,INSURANCE,Compliant
ALNRS,Al-Noor Sugar Mills Limited,SUGAR & ALLIED INDUSTRIES,Compliant
